Row ID,Order ID,Order Status,Order_Purchase_Date,Order_Delivered_Date,Order_Estimated_Delivery_Date),Ship Mode,VendorID,Customer ID,Segment,State,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
389,CA-2014-115973,delivered,4/15/2018,4/25/2018,5/9/2018,First Class,VEN02,NG-18430,Consumer,Ohio,OFF-AR-10004757,Office Supplies,Art,Crayola Colored Pencils,2.624,1,0.2,0.4264
1035,CA-2016-109820,delivered,7/8/2017,7/24/2017,8/1/2017,First Class,VEN02,AG-10390,#N/A,#N/A,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,2.628,2,0.7,-1.9272
3544,CA-2016-157511,delivered,5/10/2018,5/17/2018,6/4/2018,First Class,VEN05,SV-20365,Consumer,Delaware,OFF-AR-10002257,Office Supplies,Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",2.672,1,0.2,0.3674
699,CA-2015-119291,delivered,1/8/2018,1/17/2018,2/1/2018,First Class,VEN04,JO-15550,Home Office,Pennsylvania,OFF-AR-10001118,Office Supplies,Art,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",2.696,1,0.2,0.8088
2666,CA-2016-164784,delivered,5/23/2018,6/9/2018,6/14/2018,First Class,VEN04,HF-14995,#N/A,#N/A,OFF-BI-10002954,Office Supplies,Binders,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,2.742,2,0.7,-2.0108
1562,CA-2017-107293,delivered,7/19/2018,7/23/2018,7/31/2018,First Class,VEN03,CS-12400,Home Office,Florida,OFF-AR-10003732,Office Supplies,Art,Newell 333,2.78,1,0,0.7228
7787,US-2016-117037,delivered,5/1/2018,5/10/2018,5/23/2018,First Class,VEN01,LW-17215,#N/A,#N/A,OFF-BI-10000279,Office Supplies,Binders,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",2.89,1,0.8,-4.7685
7302,CA-2014-163468,shipped,11/15/2017,1/0/1900,12/27/2017,First Class,VEN04,JK-15730,Consumer,North Carolina,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,2.892,3,0.8,-4.9164
8851,CA-2015-140718,delivered,10/4/2017,10/23/2017,10/27/2017,First Class,VEN01,FA-14230,Corporate,California,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,2.892,2,0.7,-2.3136
3382,US-2017-162208,delivered,10/15/2017,11/1/2017,10/26/2017,First Class,VEN01,SP-20620,#N/A,#N/A,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,2.896,1,0.2,0.9774
7208,CA-2016-143476,delivered,7/21/2017,8/2/2017,8/14/2017,First Class,VEN05,LC-16930,Corporate,Illinois,OFF-AR-10003759,Office Supplies,Art,"Crayola Anti Dust Chalk, 12/Pack",2.912,2,0.2,0.91
5262,CA-2014-105165,delivered,3/22/2018,4/10/2018,4/4/2018,First Class,VEN03,SZ-20035,#N/A,#N/A,OFF-BI-10000050,Office Supplies,Binders,"Angle-D Binders with Locking Rings, Label Holders",2.92,2,0.8,-4.818
1655,US-2017-132444,delivered,7/2/2017,7/18/2017,7/31/2017,First Class,VEN04,CD-12280,#N/A,#N/A,OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC,2.96,2,0,1.4208
352,CA-2016-129714,delivered,10/22/2017,10/27/2017,11/10/2017,First Class,VEN03,AB-10060,Home Office,New York,OFF-BI-10002160,Office Supplies,Binders,Acco Hanging Data Binders,3.048,1,0.2,1.0668
4065,US-2014-130358,delivered,9/15/2017,10/20/2017,10/4/2017,First Class,VEN03,DL-13330,#N/A,#N/A,OFF-SU-10002522,Office Supplies,Supplies,Acme Kleen Earth Office Shears,3.104,1,0.2,0.3492
9870,CA-2014-114195,delivered,7/18/2017,8/9/2017,8/21/2017,First Class,VEN03,EA-14035,Corporate,North Carolina,OFF-BI-10000494,Office Supplies,Binders,Acco Economy Flexible Poly Round Ring Binder,3.132,2,0.7,-2.61
1648,CA-2015-105221,delivered,1/10/2018,1/16/2018,2/6/2018,First Class,VEN01,VM-21685,Home Office,New Jersey,OFF-FA-10001135,Office Supplies,Fasteners,"Brites Rubber Bands, 1 1/2 oz. Box",3.168,2,0.2,-0.7128
1944,CA-2017-144064,delivered,1/4/2018,1/9/2018,1/22/2018,First Class,VEN03,CP-12085,#N/A,#N/A,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,3.24,9,0.8,-5.184
9410,US-2017-110149,delivered,6/28/2018,7/12/2018,8/2/2018,First Class,VEN02,WB-21850,#N/A,#N/A,OFF-BI-10000014,Office Supplies,Binders,Heavy-Duty E-Z-D Binders,3.273,1,0.7,-2.5093
979,CA-2016-145499,delivered,5/7/2018,5/15/2018,6/5/2018,First Class,VEN05,RW-19690,#N/A,#N/A,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,3.282,2,0.7,-2.6256
5174,CA-2015-107741,delivered,3/10/2018,3/29/2018,4/12/2018,First Class,VEN05,FC-14335,#N/A,#N/A,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",3.408,1,0.2,0.8946
3459,CA-2017-136448,delivered,3/8/2018,4/16/2018,3/26/2018,First Class,VEN01,AS-10090,#N/A,#N/A,OFF-BI-10002393,Office Supplies,Binders,Binder Posts,3.444,2,0.7,-2.7552
1726,CA-2015-127453,delivered,7/25/2018,7/30/2018,8/10/2018,First Class,VEN04,JK-15370,Consumer,California,OFF-AP-10002906,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,3.552,2,0.2,0.444
6683,CA-2017-154466,delivered,2/22/2018,3/2/2018,3/15/2018,First Class,VEN03,DP-13390,#N/A,#N/A,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,3.6,2,0,1.728
3194,CA-2014-165428,delivered,3/8/2018,3/26/2018,4/5/2018,First Class,VEN05,JL-15130,#N/A,#N/A,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,3.648,3,0.8,-6.0192
1465,US-2016-104794,delivered,4/16/2018,4/24/2018,5/15/2018,First Class,VEN01,KD-16495,#N/A,#N/A,OFF-FA-10001754,Office Supplies,Fasteners,Stockwell Gold Paper Clips,3.68,2,0,1.8032
4283,CA-2014-103100,delivered,1/30/2018,2/21/2018,3/13/2018,First Class,VEN03,AB-10105,#N/A,#N/A,OFF-LA-10003720,Office Supplies,Labels,Avery 487,3.69,1,0,1.7343
5274,US-2016-158309,delivered,1/6/2018,1/26/2018,2/9/2018,First Class,VEN03,PA-19060,Home Office,Illinois,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,3.744,4,0.7,-2.6208
6459,US-2017-133361,delivered,12/9/2017,12/20/2017,1/8/2018,First Class,VEN02,AJ-10780,Corporate,Virginia,OFF-AR-10001919,Office Supplies,Art,"OIC #2 Pencils, Medium Soft",3.76,2,0,1.0904
3124,CA-2015-121720,delivered,3/3/2018,3/14/2018,3/26/2018,First Class,VEN01,JE-15610,#N/A,#N/A,OFF-BI-10001308,Office Supplies,Binders,GBC Standard Plastic Binding Systems' Combs,3.768,2,0.7,-3.14
4838,CA-2017-106831,delivered,11/27/2017,12/9/2017,12/20/2017,First Class,VEN04,FH-14350,#N/A,#N/A,OFF-BI-10003429,Office Supplies,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",3.798,2,0.7,-2.6586
6810,CA-2017-156237,delivered,6/13/2017,6/27/2017,7/18/2017,First Class,VEN05,PS-18760,#N/A,#N/A,OFF-BI-10000301,Office Supplies,Binders,GBC Instant Report Kit,3.882,2,0.7,-2.588
5268,CA-2017-147452,delivered,3/17/2018,3/26/2018,4/13/2018,First Class,VEN03,CS-11845,#N/A,#N/A,OFF-AP-10001626,Office Supplies,Appliances,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",3.89,1,0,1.0114
6403,CA-2017-125472,delivered,4/13/2018,5/15/2018,5/16/2018,First Class,VEN03,BD-11725,Consumer,Kentucky,OFF-BI-10000591,Office Supplies,Binders,Avery Binder Labels,3.89,1,0,1.8672
564,CA-2015-130736,delivered,4/21/2018,5/7/2018,5/28/2018,First Class,VEN05,JF-15490,Consumer,Washington,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",3.96,2,0,0
3566,CA-2016-130029,delivered,11/6/2017,11/16/2017,12/1/2017,First Class,VEN05,GT-14755,Consumer,Texas,OFF-FA-10001135,Office Supplies,Fasteners,"Brites Rubber Bands, 1 1/2 oz. Box",3.96,2,0,0.0792
2688,US-2016-128195,delivered,7/12/2017,7/17/2017,7/27/2017,First Class,VEN03,RA-19285,Consumer,New York,OFF-BI-10002003,Office Supplies,Binders,Ibico Presentation Index for Binding Systems,3.98,5,0.8,-6.567
2664,CA-2016-164784,delivered,5/23/2018,6/9/2018,6/14/2018,First Class,VEN03,HF-14995,#N/A,#N/A,OFF-LA-10001569,Office Supplies,Labels,Avery 499,3.984,1,0.2,1.2948
3235,CA-2016-138933,delivered,4/9/2018,4/11/2018,4/25/2018,First Class,VEN01,JL-15130,#N/A,#N/A,OFF-BI-10003355,Office Supplies,Binders,Cardinal Holdit Business Card Pockets,3.984,1,0.2,1.3944
5299,CA-2016-106656,delivered,12/3/2017,12/13/2017,1/5/2018,First Class,VEN05,DV-13045,Corporate,California,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,4.08,2,0,1.9176
8942,CA-2016-159023,delivered,9/7/2017,9/12/2017,9/21/2017,First Class,VEN03,NW-18400,#N/A,#N/A,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,4.158,7,0.7,-3.465
6387,US-2017-104661,delivered,2/22/2018,4/2/2018,3/20/2018,First Class,VEN03,TB-21250,#N/A,#N/A,OFF-BI-10001098,Office Supplies,Binders,Acco D-Ring Binder w/DublLock,4.276,1,0.8,-6.6278
781,CA-2015-144267,delivered,4/11/2018,4/18/2018,4/30/2018,First Class,VEN04,NZ-18565,Home Office,California,OFF-PA-10003657,Office Supplies,Paper,Xerox 1927,4.28,1,0,1.926
4947,CA-2016-151372,delivered,8/10/2017,8/17/2017,9/1/2017,First Class,VEN01,JH-15985,Consumer,Michigan,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,4.36,2,0,1.7876
8428,CA-2017-167017,delivered,10/10/2017,10/20/2017,11/10/2017,First Class,VEN05,DC-12850,#N/A,#N/A,OFF-SU-10001935,Office Supplies,Supplies,Staple remover,4.36,2,0,0.1744
9729,CA-2017-167395,processing,3/30/2017,1/0/1900,8/22/2017,First Class,VEN01,KM-16720,Consumer,California,OFF-SU-10001935,Office Supplies,Supplies,Staple remover,4.36,2,0,0.1744
1008,CA-2015-105312,delivered,2/19/2018,2/27/2018,3/19/2018,First Class,VEN04,MT-17815,#N/A,#N/A,OFF-BI-10002049,Office Supplies,Binders,UniKeep View Case Binders,4.401,3,0.7,-3.5208
9498,CA-2017-118213,delivered,3/16/2018,3/23/2018,3/28/2018,First Class,VEN04,AB-10060,Home Office,New York,OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",4.41,1,0,2.0286
3792,CA-2015-111325,delivered,1/22/2018,1/29/2018,2/20/2018,First Class,VEN05,BT-11395,#N/A,#N/A,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",4.419,3,0.7,-3.3879
5293,CA-2017-151218,delivered,6/24/2017,7/5/2017,7/18/2017,First Class,VEN03,PJ-19015,Consumer,California,OFF-ST-10004835,Office Supplies,Storage,Plastic Stacking Crates & Casters,4.464,1,0.2,0.3348
892,CA-2017-133256,delivered,4/5/2018,4/27/2018,5/8/2018,First Class,VEN05,TH-21550,Home Office,Michigan,OFF-PA-10001622,Office Supplies,Paper,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",4.54,1,0,2.043
7648,CA-2016-138968,delivered,12/24/2017,1/10/2018,1/30/2018,First Class,VEN01,FC-14335,#N/A,#N/A,OFF-BI-10003529,Office Supplies,Binders,Avery Round Ring Poly Binders,4.544,2,0.2,1.6472
8036,CA-2015-119690,delivered,8/28/2017,9/8/2017,9/25/2017,First Class,VEN01,MV-17485,#N/A,#N/A,OFF-LA-10001613,Office Supplies,Labels,Avery File Folder Labels,4.608,2,0.2,1.6704
9336,CA-2017-110198,delivered,4/11/2018,5/2/2018,5/18/2018,First Class,VEN02,AG-10900,Consumer,Arizona,OFF-LA-10004409,Office Supplies,Labels,Avery 492,4.608,2,0.2,1.4976
3224,CA-2014-108189,delivered,1/8/2018,1/22/2018,2/6/2018,First Class,VEN05,ES-14080,Corporate,Arizona,OFF-FA-10000735,Office Supplies,Fasteners,Staples,4.672,2,0.2,1.46
8590,CA-2017-145338,delivered,6/21/2018,6/25/2018,7/4/2018,First Class,VEN05,BD-11770,#N/A,#N/A,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",4.768,2,0.2,0.4768
7811,CA-2016-134334,delivered,2/26/2018,3/1/2018,3/12/2018,First Class,VEN01,DK-13090,Consumer,Virginia,OFF-PA-10000791,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",4.77,1,0,2.1465
8755,CA-2017-152198,delivered,7/31/2018,8/15/2018,8/30/2018,First Class,VEN04,JD-16015,#N/A,#N/A,OFF-BI-10003669,Office Supplies,Binders,3M Organizer Strips,4.86,3,0.7,-3.564
309,CA-2017-126774,delivered,2/16/2018,2/27/2018,3/15/2018,First Class,VEN05,SH-20395,Consumer,Virginia,OFF-AR-10002804,Office Supplies,Art,Faber Castell Col-Erase Pencils,4.89,1,0,2.0049
701,CA-2015-119291,delivered,1/8/2018,1/17/2018,2/1/2018,First Class,VEN05,JO-15550,Home Office,Pennsylvania,OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,4.896,3,0.7,-3.4272
6377,CA-2016-163216,delivered,3/9/2017,3/16/2017,4/6/2017,First Class,VEN05,AW-10930,#N/A,#N/A,OFF-LA-10000134,Office Supplies,Labels,Avery 511,4.928,2,0.2,1.7248
1419,CA-2015-126697,delivered,6/12/2018,6/15/2018,6/28/2018,First Class,VEN04,SV-20815,#N/A,#N/A,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,4.928,4,0.6,-1.4784
6873,CA-2015-162544,delivered,11/29/2017,12/9/2017,1/15/2018,First Class,VEN02,SG-20080,Consumer,Missouri,OFF-PA-10004948,Office Supplies,Paper,Xerox 190,4.98,1,0,2.3406
8372,CA-2014-165393,delivered,11/24/2017,12/20/2017,12/27/2017,First Class,VEN05,NC-18415,#N/A,#N/A,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,4.984,1,0.8,-8.4728
6165,CA-2014-103989,delivered,2/19/2018,3/2/2018,3/19/2018,First Class,VEN01,MC-17605,Corporate,Michigan,FUR-FU-10003981,Furniture,Furnishings,Eldon Wave Desk Accessories,4.992,3,0.2,1.3728
1903,CA-2017-167094,delivered,3/25/2018,4/20/2018,4/25/2018,First Class,VEN01,DK-12835,#N/A,#N/A,OFF-PA-10003953,Office Supplies,Paper,Xerox 218,5.184,1,0.2,1.8144
3930,CA-2016-162082,delivered,6/27/2018,6/29/2018,7/12/2018,First Class,VEN01,JS-15880,#N/A,#N/A,OFF-PA-10001934,Office Supplies,Paper,Xerox 1993,5.184,1,0.2,1.8792
7697,CA-2017-107958,delivered,9/5/2017,9/13/2017,9/27/2017,First Class,VEN01,AH-10120,#N/A,#N/A,OFF-BI-10001787,Office Supplies,Binders,Wilson Jones Four-Pocket Poly Binders,5.232,4,0.8,-8.1096
2690,CA-2014-123064,delivered,5/6/2017,5/16/2017,5/31/2017,First Class,VEN03,RA-19915,Consumer,Colorado,OFF-AR-10004582,Office Supplies,Art,BIC Brite Liner Grip Highlighters,5.248,4,0.2,1.64
2119,CA-2017-155460,delivered,1/20/2018,2/22/2018,2/22/2018,First Class,VEN04,RW-19630,#N/A,#N/A,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),5.28,1,0,2.376
273,CA-2015-155334,delivered,12/10/2017,12/27/2017,1/16/2018,First Class,VEN04,HA-14920,Consumer,California,FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection,5.28,3,0,2.3232
6597,CA-2017-157112,delivered,10/22/2017,11/7/2017,11/22/2017,First Class,VEN03,GG-14650,Corporate,Tennessee,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,5.344,1,0.2,1.8704
3542,CA-2016-157511,delivered,5/10/2018,5/17/2018,6/4/2018,First Class,VEN02,SV-20365,Consumer,Delaware,FUR-FU-10002107,Furniture,Furnishings,Eldon Pizzaz Desk Accessories,5.352,3,0.2,1.6056
7297,CA-2014-111899,delivered,11/24/2017,12/12/2017,12/27/2017,First Class,VEN02,NC-18340,#N/A,#N/A,OFF-FA-10000840,Office Supplies,Fasteners,OIC Thumb-Tacks,5.472,6,0.2,1.8468
220,CA-2015-169397,delivered,4/27/2017,5/9/2017,6/8/2017,First Class,VEN01,JB-15925,Consumer,Ohio,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,5.584,2,0.2,1.8148
9345,CA-2017-109085,delivered,9/17/2017,10/10/2017,10/17/2017,First Class,VEN05,CK-12325,Home Office,Utah,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",5.715,5,0.7,-4.7625
7116,US-2016-102239,unavailable,6/29/2017,1/0/1900,7/12/2017,First Class,VEN01,LW-16990,#N/A,#N/A,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,5.728,2,0.2,2.0048
4551,US-2017-107636,delivered,6/29/2018,7/4/2018,8/6/2018,First Class,VEN05,NM-18520,#N/A,#N/A,OFF-LA-10003388,Office Supplies,Labels,Avery 5,5.76,2,0,2.8224
7340,CA-2015-159590,delivered,5/5/2018,6/7/2018,6/7/2018,First Class,VEN04,KC-16255,#N/A,#N/A,OFF-AR-10003190,Office Supplies,Art,Newell 32,5.76,2,0,1.6128
7614,US-2015-130491,delivered,3/27/2017,4/10/2017,4/27/2017,First Class,VEN04,BH-11710,Consumer,California,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",5.76,2,0,1.728
7613,US-2015-130491,delivered,3/27/2017,4/10/2017,4/27/2017,First Class,VEN05,BH-11710,Consumer,California,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",5.81,1,0,1.8011
6981,CA-2014-146990,delivered,6/11/2018,6/13/2018,6/20/2018,First Class,VEN05,BP-11095,Corporate,Illinois,OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC,5.92,4,0,2.8416
2918,CA-2017-155047,delivered,4/12/2018,4/20/2018,5/7/2018,First Class,VEN01,SE-20110,#N/A,#N/A,OFF-AR-10003338,Office Supplies,Art,"Eberhard Faber 3 1/2"" Golf Pencils",5.952,1,0.2,0.372
161,CA-2016-162733,delivered,11/9/2017,11/16/2017,11/29/2017,First Class,VEN05,TT-21070,Consumer,California,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1,0,2.691
276,CA-2017-118136,delivered,7/24/2017,7/28/2017,8/15/2017,First Class,VEN01,BB-10990,Corporate,Arizona,OFF-AR-10001427,Office Supplies,Art,Newell 330,5.98,1,0,1.5548
9564,CA-2016-129280,delivered,7/18/2017,7/31/2017,8/22/2017,First Class,VEN02,SM-20905,#N/A,#N/A,OFF-LA-10000081,Office Supplies,Labels,Avery 496,6,2,0.2,2.1
2875,US-2017-102638,delivered,11/29/2017,12/19/2017,1/2/2018,First Class,VEN05,MC-17845,Consumer,Mississippi,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,6.03,3,0,2.9547
8193,CA-2015-141327,delivered,8/26/2017,8/31/2017,9/15/2017,First Class,VEN02,LR-16915,Consumer,California,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,6.048,7,0.7,-4.2336
8978,CA-2017-156622,delivered,5/7/2018,5/23/2018,5/29/2018,First Class,VEN01,JP-15460,#N/A,#N/A,OFF-BI-10003707,Office Supplies,Binders,Aluminum Screw Posts,6.104,2,0.8,-9.156
7775,CA-2016-152800,delivered,6/24/2018,7/2/2018,7/20/2018,First Class,VEN01,SP-20920,#N/A,#N/A,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,6.12,3,0,2.8764
6730,CA-2015-156734,delivered,11/26/2017,12/10/2017,12/15/2017,First Class,VEN01,BV-11245,Corporate,Iowa,OFF-BI-10002982,Office Supplies,Binders,Avery Self-Adhesive Photo Pockets for Polaroid Photos,6.129,3,0.7,-4.4946
1585,CA-2015-131338,delivered,8/22/2018,8/27/2018,9/10/2018,First Class,VEN02,NP-18325,Consumer,Virginia,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568
8756,CA-2017-152198,delivered,7/31/2018,8/15/2018,8/30/2018,First Class,VEN01,JD-16015,#N/A,#N/A,OFF-BI-10001628,Office Supplies,Binders,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",6.258,2,0.7,-5.215
3844,CA-2014-101931,delivered,11/26/2017,12/28/2017,1/3/2018,First Class,VEN02,TS-21370,#N/A,#N/A,OFF-SU-10002301,Office Supplies,Supplies,Serrated Blade or Curved Handle Hand Letter Openers,6.28,2,0,0.0628
732,US-2016-150861,delivered,2/13/2018,3/17/2018,3/7/2018,First Class,VEN03,EG-13900,Consumer,New York,OFF-LA-10001317,Office Supplies,Labels,Avery 520,6.3,2,0,3.024
